Main Category,Subcategories
"Mining and Logging,66.67,150.0,200.0,191.67,158.33,100.0,175.0,141.67,166.67,200.0,208.33,50.0,58.33,116.67,153.33",
"Construction,23525.0,22583.33,23608.33,27083.33,28458.33,30958.33,32933.33,35533.33,38625.0,41516.67,42208.33,44933.33,45633.33,44200.0,25051.66",
"Manufacturing,19375.0,20366.67,21100.0,20850.0,21316.67,20833.33,21141.67,21100.0,21150.0,21791.67,21750.0,22408.33,23341.67,23566.67,20601.67","Durable Goods,12208.33,12933.33,13816.67,13991.67,14216.67,14166.67,13983.33,13775.0,13625.0,14200.0,14366.67,14691.67,15533.33,15566.67,13433.33, Nondurable Goods,7166.67,7433.33,7283.33,6858.33,7100.0,6666.67,7166.67,7325.0,7525.0,7591.67,7383.33,7716.67,7808.33,8016.67,7168.33"
"""Trade Transportation & Utilities"",81658.33,82700.0,86400.0,87216.67,87533.33,90816.67,94125.0,96100.0,99375.0,99283.33,95183.33,101433.33,105500.0,106325.0,85101.67","Wholesale Trade,14133.33,14858.33,15900.0,15458.33,15183.33,15058.33,15666.67,16316.67,17750.0,17275.0,16241.67,16758.33,17725.0,18408.33,15106.66, Retail Trade,55600.0,56383.33,58258.33,59041.67,59316.67,62133.33,64100.0,64591.67,64266.67,63175.0,59141.67,62766.67,62866.67,62091.67,57720.0, ""Transportation Warehousing and Utilities"",11925.0,11458.33,12241.67,12716.67,13033.33,13625.0,14358.33,15191.67,17358.33,18833.33,19800.0,21908.33,24908.33,25825.0,12275.0"
"Information,13241.67,12600.0,11775.0,11000.0,10166.67,10016.67,9675.0,8500.0,8400.0,7966.67,6908.33,6883.33,7150.0,6641.67,11756.67",
"Financial Activities,32100.0,30566.67,31250.0,31533.33,31166.67,32691.67,33158.33,33350.0,33233.33,33358.33,33041.67,32816.67,32725.0,30291.67,31323.33","Finance & Insurance,24800.0,23166.67,23491.67,23533.33,23016.67,24358.33,24483.33,24200.0,23808.33,23816.67,23658.33,23191.67,22575.0,20808.33,23601.67, Real Estate & Rental & Leasing,7300.0,7400.0,7758.33,8000.0,8150.0,8333.33,8675.0,9141.67,9400.0,9541.67,9383.33,9625.0,10150.0,9483.33,7721.67"
"Professional and Business Services,76716.67,78275.0,83900.0,86133.33,88100.0,88408.33,94408.33,94850.0,95966.67,98850.0,95466.67,100816.67,99458.33,95116.67,82625.0","""Professional Scientific & Technical Services"",38633.33,37791.67,37850.0,37708.33,38325.0,39225.0,40416.67,40283.33,40700.0,42475.0,42775.0,46783.33,43875.0,43941.67,38061.67, Management of Companies & Enterprises,7408.33,7166.67,7208.33,7716.67,7633.33,7591.67,7950.0,9183.33,9991.67,10158.33,10050.0,10191.67,9525.0,9233.33,7426.67, Administrative and Support and Waste and Remediatio,30675.0,33316.67,38841.67,40708.33,42141.67,41591.67,46041.67,45400.0,45275.0,46191.67,42641.67,43875.0,46066.67,41925.0,37136.67"
"Private Education and Health Services,86416.67,87000.0,88375.0,91158.33,93266.67,101950.0,109491.67,106833.33,112166.67,116583.33,115550.0,118716.67,123175.0,132116.67,89243.33",
"Leisure and Hospitality,48483.33,49541.67,51325.0,53708.33,55975.0,58691.67,60833.33,62541.67,65216.67,67708.33,50641.67,55933.33,65425.0,67950.0,51806.67","""Arts Entertainment and Recreation"",7266.67,7516.67,7633.33,7675.0,7566.67,7625.0,8258.33,8300.0,8633.33,9158.33,5291.67,6050.0,8441.67,10266.67,7531.67, Accommodation & Food Services,41216.67,42025.0,43691.67,46033.33,48408.33,51066.67,52575.0,54233.33,56600.0,58550.0,45350.0,49883.33,56983.33,57683.33,44275.0"
"Other Services,20058.33,19675.0,19633.33,19550.0,20316.67,20833.33,21166.67,22358.33,23250.0,24058.33,21158.33,22091.67,24066.67,25533.33,19846.67",
"Government,164316.67,159908.33,156383.33,156741.67,160733.33,163275.0,164658.33,163750.0,165275.0,168125.0,167108.33,169766.67,176866.67,183541.67,159616.67","Federal Government,10625.0,10158.33,9983.33,9758.33,9850.0,10016.67,10233.33,10383.33,10391.67,10508.33,10966.67,10716.67,10583.33,10658.33,10075.0"
