Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,2383.33,2333.33,2391.67,2875,3150,3375,3558.33,3775,4316.67,4400,4233.33,4191.67,4208.33,4266.67,3686.11
Manufacturing,3675,3666.67,3933.33,3991.67,3983.33,4175,4266.67,4291.67,4275,4116.67,3966.67,4141.67,4333.33,4200,4062.5
Service-Providing,65208.33,63783.33,65041.67,67508.33,68891.67,70316.67,71966.67,73433.33,73908.33,72083.33,65608.33,67041.67,68833.33,69200,68194.44
Trade Transportation and Utilities,12675,12541.67,12833.33,12975,13291.67,13750,14141.67,14675,14741.67,14500,13641.67,14466.67,14325,13625,13184.72
Information,1000,1075,1075,1000,1016.67,1058.33,1000,900,900,800,625,616.67,675,675,838.89
Financial Activities,3125,2966.67,2966.67,3075,3275,3516.67,3550,3441.67,3275,3150,2991.67,2875,2691.67,2566.67,2742.36
Professional and Business Services,4925,5125,5541.67,5816.67,5575,5541.67,5758.33,5766.67,5600,5783.33,5350,5483.33,5083.33,5166.67,5456.94
Private Education and Health Services,15841.67,15525,15725,17108.33,17750,18083.33,18791.67,19400,19941.67,18408.33,17491.67,17633.33,18400,19600,18620.83
Leisure and Hospitality,7116.67,7166.67,7433.33,7808.33,8041.67,8350,8641.67,8891.67,9216.67,9025,7183.33,8033.33,8400,8150,7897.22
Other Services,3558.33,3675,3675,3741.67,3825,3758.33,3750,3825,3791.67,3850,3066.67,3125,3591.67,3575,3672.92
Government,16966.67,15708.33,15791.67,15983.33,16116.67,16258.33,16333.33,16533.33,16441.67,16566.67,15258.33,14808.33,15666.67,15841.67,15780.56
