Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Civilian Unemployment,621950,604308.33,539200,484391.67,410241.67,332708.33,267716.67,245691.67,237508.33,230908.33,611341.67,448700,248833.33,252041.67,381790.97
Total Farm,6250,5666.67,5425,5500,5216.67,4991.67,5341.67,5750,4658.33,4383.33,4425,4583.33,4816.67,4650,5113.2
Total Nonfarm,3926558.33,3948891.67,4039075,4117525,4194116.67,4287608.33,4396750,4450033.33,4516958.33,4562558.33,4168091.67,4305083.33,4533041.67,4543525,4347438.89
Mining Logging and Construction,106658.33,106950,110808.33,117958.33,121666.67,129041.67,136500,140833.33,148300,151816.67,148300,150650,153025,152700,135586.81
Mining and Logging,2966.67,2933.33,3166.67,3375,3175,2908.33,2441.67,2075,1975,1950,1741.67,1625,1683.33,1658.33,2259.72
Construction,103691.67,104016.67,107641.67,114583.33,118491.67,126133.33,134058.33,138758.33,146325,149866.67,146558.33,149025,151341.67,151041.67,133327.08
Manufacturing,380533.33,374758.33,375691.67,376958.33,372575,369525,362291.67,350758.33,343000,341208.33,315433.33,313133.33,321700,319216.67,340768.06
Trade Transportation and Utilities,743650,753750,770591.67,785550,803258.33,820950,834041.67,843791.67,849308.33,848625,784633.33,813958.33,834458.33,826441.67,800550
Other Motor Vehicle Dealers,2333.33,2183.33,2116.67,1966.67,1800,1725,1775,1875,1975,2066.67,1891.67,2100,2308.33,2241.67,2125
Food and Beverage Retailers,87850,88558.33,90241.67,91466.67,93150,94741.67,94150,94233.33,93583.33,93308.33,93775,93558.33,94925,98108.33,95705.56
Furniture Home Furnishings Electronics and App,29650,30658.33,30433.33,30458.33,31308.33,32508.33,33783.33,33100,31775,29591.67,26325,26450,26291.67,24850,26500.69
General Merchandise Retailers,64716.67,66808.33,68108.33,68025,69425,71741.67,72000,71758.33,73291.67,73858.33,68691.67,71550,72416.67,71908.33,69381.94
Transportation Warehousing and Utilities,155566.67,156733.33,159675,163333.33,169358.33,177708.33,189033.33,198333.33,203825,213116.67,207916.67,215241.67,223566.67,218766.67,194580.56
Information,192308.33,192783.33,192266.67,197191.67,198875,207383.33,228950,214266.67,214950,215558.33,191100,208841.67,234858.33,193008.33,187902.08
Financial Activities,211325,210325,212591.67,213275,211341.67,215775,220091.67,221966.67,223750,224258.33,213216.67,213150,215708.33,211016.67,210721.53
Professional and Business Services,519908.33,535716.67,562816.67,586500,592891.67,595266.67,604850,614433.33,633600,648375,601008.33,630841.67,666875,652466.67,606386.11
Private Education and Health Services,671783.33,678416.67,701391.67,704191.67,722658.33,743383.33,769975,797533.33,818016.67,840108.33,821691.67,844400,871058.33,914516.67,843061.81
Leisure and Hospitality,384050,393708.33,414400,438958.33,464133.33,486716.67,510025,524650,536550,547308.33,393708.33,434166.67,512375,534058.33,489887.5
Other Services,136783.33,137016.67,141700,145708.33,150550,151075,153366.67,155691.67,158850,158416.67,128775,135700,152958.33,157758.33,153054.86
Government,579558.33,565466.67,556816.67,551233.33,556166.67,568491.67,576658.33,586108.33,590633.33,586883.33,570225,560241.67,570025,582341.67,579520.14
