Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",4841.67,4950.0,5308.33,5691.67,6075.0,6458.33,6800.0,7191.67,7716.67,7725.0,7291.67,7600.0,7758.33,7616.67,6588.89
Mining and Logging,141.67,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.47
Construction,4700.0,4850.0,5208.33,5691.67,6075.0,6458.33,6800.0,7191.67,7716.67,7725.0,7291.67,7600.0,7758.33,7616.67,6560.42
Manufacturing,2116.67,2175.0,2425.0,2908.33,3400.0,3833.33,4216.67,4466.67,4733.33,4850.0,4600.0,4391.67,4216.67,4283.33,3593.75
"""Trade Transportation and Utilities""",16525.0,16508.33,16966.67,17466.67,17950.0,18033.33,18200.0,18425.0,18458.33,18333.33,17300.0,17450.0,17483.33,17308.33,17309.72
Information,2225.0,2733.33,2883.33,2925.0,2783.33,2866.67,2850.0,2741.67,2666.67,2633.33,2550.0,2658.33,2825.0,2866.67,2762.5
Financial Activities,6400.0,6325.0,6366.67,6575.0,6475.0,6016.67,5966.67,5566.67,5483.33,5441.67,5183.33,5025.0,5175.0,5266.67,5670.14
Professional and Business Services,18275.0,17683.33,18491.67,18591.67,18041.67,18216.67,18250.0,17950.0,18133.33,18650.0,17541.67,17666.67,18208.33,17958.33,18056.94
Private Education and Health Services,17275.0,17808.33,18508.33,19400.0,19666.67,20141.67,20633.33,20958.33,21016.67,21058.33,19358.33,19975.0,20366.67,21441.67,20704.86
Leisure and Hospitality,12191.67,12650.0,13233.33,14433.33,15116.67,15366.67,16050.0,16458.33,16150.0,15983.33,11225.0,12108.33,13950.0,14533.33,14085.42
Other Services,4966.67,4758.33,4983.33,5150.0,5216.67,5241.67,5500.0,5716.67,5700.0,5741.67,4758.33,4841.67,5325.0,5625.0,5506.25
Government,15008.33,15983.33,15475.0,15375.0,15433.33,15450.0,15508.33,15725.0,16008.33,15816.67,14758.33,14516.67,14808.33,15333.33,15714.58
