Main Category,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
"""Mining Logging and Construction""",1041.67,925.0,800.0,941.67,1033.33,1291.67,1491.67,1383.33,1441.67,1616.67,1616.67,1616.67,1733.33,1658.33,948.33
Manufacturing,1516.67,1566.67,1550.0,1550.0,1491.67,1500.0,1483.33,1475.0,1500.0,1500.0,1425.0,1483.33,1491.67,1533.33,1535.0
"""Trade Transportation & Utilities""",5750.0,5933.33,6008.33,5891.67,6058.33,6308.33,6733.33,6791.67,6850.0,7208.33,7333.33,7783.33,8033.33,8300.0,5928.33
Information,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,166.67,200.0,125.0,100.0,108.33,100.0,200.0
Financial Activities,1091.67,1008.33,1058.33,1050.0,1100.0,1116.67,1150.0,1125.0,1166.67,1158.33,1116.67,1100.0,1166.67,1000.0,1061.67
Professional and Business Services,1783.33,1625.0,1841.67,1983.33,2075.0,2133.33,2141.67,2175.0,2116.67,2216.67,2341.67,2250.0,2225.0,2150.0,1861.67
Private Education and Health Services,4091.67,3933.33,3908.33,4250.0,4241.67,4433.33,4725.0,4675.0,4866.67,5100.0,5066.67,5283.33,5466.67,5591.67,4085.0
Leisure and Hospitality,2550.0,2708.33,2766.67,2875.0,2950.0,2916.67,2675.0,2925.0,3025.0,3258.33,2791.67,3166.67,3508.33,3458.33,2770.0
Other Services,716.67,675.0,641.67,700.0,725.0,716.67,750.0,758.33,766.67,750.0,691.67,766.67,808.33,808.33,691.67
Government,4733.33,4475.0,4375.0,4408.33,4633.33,4766.67,4933.33,5083.33,5091.67,5116.67,4833.33,5141.67,5633.33,5900.0,4525.0
