Category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mining Logging and Construction,543.33,565.83,571.67,671.67,705,691.67,698.33,746.67,826.67,973.33,1079.17,1143.33,1144.17,1157.5,943.12
Manufacturing,1581.67,1564.17,1614.17,1669.17,1770,1835,1810.83,1840.83,1875,1800,1755.83,1802.5,1829.17,1828.33,1759.1
Trade Transportation & Utilities,3183.33,3137.5,3161.67,3433.33,3575,3670,3916.67,4015.83,4038.33,4085,4126.67,4187.5,4224.17,4162.5,3831.74
Information,69.17,70,80,70.83,63.33,57.5,77.5,107.5,96.67,88.33,94.17,88.33,74.17,70,70.28
Financial Activities,360,344.17,363.33,345,341.67,330.83,355,353.33,320.83,313.33,328.33,322.5,312.5,318.33,349.51
Professional and Business Services,880.83,959.17,826.67,627.5,663.33,701.67,810,878.33,818.33,855.83,835.83,861.67,840,797.5,779.79
Private Education and Health Services,2379.17,2350,2379.17,2768.33,2864.17,2859.17,2830.83,2966.67,3138.33,3339.17,3352.5,3344.17,3490,3683.33,3240.9
Leisure and Hospitality,1124.17,1177.5,1229.17,1258.33,1300,1358.33,1340.83,1410.83,1481.67,1491.67,1298.33,1422.5,1480.83,1472.5,1318.26
Other Services,350,338.33,336.67,342.5,359.17,341.67,325,315,325.83,303.33,293.33,313.33,301.67,319.17,343.06
Government,4155.83,4095,4075.83,3940.83,4000.83,4028.33,4064.17,4153.33,4164.17,4151.67,3885.83,3918.33,4233.33,4448.33,4270.69
